id,company_id,product_id,created_at,updated_at
41,495,21,2022-08-17 14:34:10,2022-08-17 14:34:10
42,495,23,2022-08-17 14:34:10,2022-08-17 14:34:10
43,495,24,2022-08-17 14:34:10,2022-08-17 14:34:10
44,495,25,2022-08-17 14:34:10,2022-08-17 14:34:10
45,495,27,2022-08-17 14:34:10,2022-08-17 14:34:10
46,495,17,2022-08-17 14:34:10,2022-08-17 14:34:10
47,495,15,2022-08-17 14:34:10,2022-08-17 14:34:10
48,495,12,2022-08-17 14:34:10,2022-08-17 14:34:10
49,495,3,2022-08-17 14:34:10,2022-08-17 14:34:10
50,495,1,2022-08-17 14:34:10,2022-08-17 14:34:10
51,495,2,2022-08-17 14:34:10,2022-08-17 14:34:10
52,495,4,2022-08-17 14:34:10,2022-08-17 14:34:10
53,495,5,2022-08-17 14:34:10,2022-08-17 14:34:10
54,495,7,2022-08-17 14:34:10,2022-08-17 14:34:10
55,495,8,2022-08-17 14:34:10,2022-08-17 14:34:10
56,495,9,2022-08-17 14:34:10,2022-08-17 14:34:10
57,495,14,2022-08-17 14:34:10,2022-08-17 14:34:10
58,495,16,2022-08-17 14:34:10,2022-08-17 14:34:10
59,520,3,2022-09-22 16:36:04,2022-09-22 16:36:04
60,520,4,2022-09-22 16:36:04,2022-09-22 16:36:04
89,539,1,2022-10-28 09:07:00,2022-10-28 09:07:00
90,539,3,2022-10-28 09:07:00,2022-10-28 09:07:00
91,539,12,2022-10-28 09:07:00,2022-10-28 09:07:00
92,539,17,2022-10-28 09:07:00,2022-10-28 09:07:00
93,539,16,2022-10-28 09:07:00,2022-10-28 09:07:00
94,539,24,2022-10-28 09:07:00,2022-10-28 09:07:00
95,539,28,2022-10-28 09:07:00,2022-10-28 09:07:00
96,553,1,2022-12-12 01:17:38,2022-12-12 01:17:38
97,553,3,2022-12-12 01:17:38,2022-12-12 01:17:38
98,553,10,2022-12-12 01:17:38,2022-12-12 01:17:38
99,553,12,2022-12-12 01:17:38,2022-12-12 01:17:38
100,553,14,2022-12-12 01:17:38,2022-12-12 01:17:38
101,553,15,2022-12-12 01:17:38,2022-12-12 01:17:38
102,553,16,2022-12-12 01:17:38,2022-12-12 01:17:38
103,553,17,2022-12-12 01:17:38,2022-12-12 01:17:38
104,553,20,2022-12-12 01:17:38,2022-12-12 01:17:38
105,553,21,2022-12-12 01:17:38,2022-12-12 01:17:38
106,553,23,2022-12-12 01:17:38,2022-12-12 01:17:38
107,553,24,2022-12-12 01:17:38,2022-12-12 01:17:38
108,553,25,2022-12-12 01:17:38,2022-12-12 01:17:38
109,553,27,2022-12-12 01:17:38,2022-12-12 01:17:38
