id,inquiry_id,item,amount,created_at,updated_at
1,817,10jjk,1.0,2022-12-12 16:01:59,2022-12-12 16:01:59
3,640,FOB,17.3,2023-01-18 13:20:12,2023-01-18 13:20:12
5,693,FOB,9.8,2023-01-23 15:18:32,2023-01-23 15:18:32
6,843,FOB,14.5,2023-01-23 15:31:34,2023-01-23 15:31:34
7,844,FOB,16.5,2023-01-23 15:33:19,2023-01-23 15:33:19
8,737,CM/FOB,1.95,2023-01-24 15:16:25,2023-01-24 15:16:25
9,756,CM/FOB,6.95,2023-01-24 15:22:31,2023-01-24 15:22:31
10,755,CM/FOB,8.35,2023-01-24 15:28:42,2023-01-24 15:28:42
11,754,CM/FOB,5.35,2023-01-24 15:31:42,2023-01-24 15:31:42
12,753,CM/FOB,10.95,2023-01-24 15:33:56,2023-01-24 15:33:56
13,805,FOB,18.42,2023-01-24 17:09:50,2023-01-24 17:09:50
14,807,FOB,13.58,2023-01-25 04:07:16,2023-01-25 04:07:16
15,808,FOB,18.09,2023-01-25 08:14:08,2023-01-25 08:14:08
16,809,FOB,12.88,2023-01-25 08:16:55,2023-01-25 08:16:55
17,810,FOB,11.4,2023-01-25 08:19:38,2023-01-25 08:19:38
18,818,FOB,9.97,2023-01-25 08:21:58,2023-01-25 08:21:58
19,828,FOB,12.71,2023-01-25 08:39:29,2023-01-25 08:39:29
20,829,FOB,13.59,2023-01-25 08:47:36,2023-01-25 08:47:36
