id,inquiry_id,no_of_fabrics,style_type,sourcing_mechanism,fabric_weight,fabric_width,send_swatches,terms_and_condition,is_submitted,created_at,updated_at,construction_and_features
1,644,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,0,1,1,2022-03-01 17:41:51,2022-03-01 17:42:03,
2,702,1,Repetitive style (Plan to make in future with same fabric),"Source specific materials (eg - Organic, high tech, echo, etc)",,,0,1,1,2022-04-27 19:18:45,2022-04-27 19:19:04,
3,736,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),380-450,tbc,1,1,1,2022-06-01 21:28:08,2022-06-01 21:33:09,
4,753,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),380-450gsm,,1,1,1,2022-06-01 22:48:24,2022-06-23 20:17:16,
5,756,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),380-450gsm,,1,1,1,2022-06-01 22:52:43,2022-06-23 16:43:23,
6,755,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),380-450gsm,,1,1,1,2022-06-01 22:56:09,2022-06-23 17:00:25,
7,754,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),380-450gsm,,1,1,1,2022-06-01 23:01:52,2022-06-23 17:05:13,
8,757,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-22 16:14:27,2022-06-23 15:20:28,
9,750,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-22 16:23:47,2022-06-23 15:25:46,
10,739,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 15:41:46,2022-06-23 15:41:50,
11,738,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 15:55:20,2022-06-23 15:55:25,
12,737,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 16:29:37,2022-06-23 16:29:43,
13,751,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 20:37:52,2022-06-23 20:37:55,
14,748,1,One time style (Make the style only one time),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 20:47:58,2022-06-23 20:48:55,
15,747,1,One time style (Make the style only one time),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 20:54:45,2022-06-23 20:56:34,
16,741,1,One time style (Make the style only one time),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,1,1,1,2022-06-23 21:00:50,2022-06-23 21:00:54,
17,458,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),Test,Test,0,1,1,2022-06-25 15:33:48,2022-06-25 15:34:44,
18,767,1,Repetitive style (Plan to make in future with same fabric),"Source specific materials (eg - Organic, high tech, echo, etc)",,,0,0,0,2022-06-29 22:39:02,2022-06-29 22:39:02,
19,776,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),310 GSM,60”,0,1,1,2022-08-05 02:05:18,2022-08-05 02:10:01,
20,795,1,One time style (Make the style only one time),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),,,0,1,1,2022-08-31 14:12:01,2022-08-31 14:12:01,fabric feature testing
21,833,1,Repetitive style (Plan to make in future with same fabric),Source from available materials (These materials may not available at a second purchase. But it will be good if you purchase lower quantity),null,null,1,1,1,2022-11-03 07:00:18,2022-12-10 11:20:30,NA
