id,inquiry_id,fabric_sourcing,links,created_at,updated_at
1,649,Use Chanodil sourcing service,,2022-02-20 06:40:23,2022-02-20 06:40:23
2,650,Use Chanodil sourcing service,,2022-02-20 07:18:02,2022-02-20 07:18:02
3,652,Use Chanodil sourcing service,,2022-02-20 07:25:01,2022-02-20 07:25:01
4,653,Use Chanodil sourcing service,,2022-02-20 08:14:51,2022-02-20 08:14:51
5,654,Use Chanodil sourcing service,,2022-02-20 08:19:01,2022-02-20 08:19:01
6,672,Use Chanodil sourcing service,,2022-03-18 08:58:50,2022-03-18 08:58:50
7,686,Use Chanodil sourcing service,,2022-03-23 12:28:47,2022-03-23 12:28:47
8,702,I will be supplying the fabric,armalith.com,2022-04-27 18:49:32,2022-04-28 14:30:54
9,736,Use Chanodil sourcing service,,2022-06-19 15:16:35,2022-06-19 15:16:35
10,754,Use Chanodil sourcing service,https://www.ln-cc.com/en/men/clothing/track-pants/phipps-classic-logo-track-pants-in-red-phi0144009col.html,2022-06-27 16:08:23,2022-06-28 17:37:49
11,757,Use Chanodil sourcing service,https://www.ssense.com/en-gb/women/product/marc-jacobs-heaven/gray-cotton-long-sleeve-t-shirt/9609021,2022-06-27 19:13:38,2022-06-27 19:13:38
12,756,Use Chanodil sourcing service,https://www.ln-cc.com/en/men/clothing/track-pants/phipps-classic-logo-track-pants-in-red-phi0144009col.html,2022-06-27 19:45:24,2022-06-27 19:45:24
13,755,Use Chanodil sourcing service,https://www.ln-cc.com/en/men/clothing/track-pants/phipps-classic-logo-track-pants-in-red-phi0144009col.html,2022-06-27 20:17:53,2022-06-27 20:17:53
14,753,Use Chanodil sourcing service,https://www.ln-cc.com/en/men/clothing/track-pants/phipps-classic-logo-track-pants-in-red-phi0144009col.html,2022-06-28 18:00:23,2022-06-28 18:00:23
15,737,Use Chanodil sourcing service,,2022-06-28 18:16:14,2022-06-28 18:16:14
16,738,Use Chanodil sourcing service,https://www.ssense.com/en-gb/women/product/marc-jacobs-heaven/gray-cotton-long-sleeve-t-shirt/9609021,2022-06-28 22:31:38,2022-06-28 22:31:38
17,739,Use Chanodil sourcing service,https://www.ssense.com/en-gb/women/product/marc-jacobs-heaven/gray-cotton-long-sleeve-t-shirt/9609021,2022-06-28 22:43:19,2022-06-28 22:43:19
18,750,Use Chanodil sourcing service,https://www.ssense.com/en-gb/women/product/marc-jacobs-heaven/gray-cotton-long-sleeve-t-shirt/9609021,2022-06-29 15:09:35,2022-06-29 15:09:35
19,740,Use Chanodil sourcing service,,2022-06-29 15:26:02,2022-06-29 15:26:02
20,751,Use Chanodil sourcing service,,2022-06-29 15:45:17,2022-06-29 15:45:17
21,748,Use Chanodil sourcing service,https://skims.com/collections/cozy,2022-06-29 16:43:54,2022-06-29 16:43:54
22,747,Use Chanodil sourcing service,https://skims.com/collections/cozy,2022-06-29 17:21:25,2022-06-29 17:21:25
23,741,Use Chanodil sourcing service,https://skims.com/products/cozy-knit-cropped-t-shirt-bone,2022-06-29 20:08:48,2022-06-29 20:08:48
24,742,Use Chanodil sourcing service,,2022-06-29 20:35:53,2022-06-29 20:35:53
25,770,I will be supplying the fabric,,2022-07-12 16:10:09,2022-07-12 16:10:09
26,734,Use Chanodil sourcing service,,2022-08-08 13:26:30,2022-08-08 13:26:30
27,795,Use Seamless Source sourcing service,www.google.com,2022-08-31 13:23:03,2022-08-31 13:23:03
28,800,Use Seamless Source sourcing service,,2022-10-10 12:45:18,2022-10-10 12:45:18
29,833,I Will be Supplying the Fabric,,2022-11-03 06:37:49,2022-11-03 06:37:49
30,840,I Will be Supplying the Fabric,https://www.bing.com/search?q=positive+quatations&cvid=9b4f5fdd23284f659791f633c4b0c39a&aqs=edge..69i57j0l8.4519j0j1&pglt=41&FORM=ANNTA1&PC=U531,2022-12-14 14:43:00,2022-12-14 14:43:00
